kode,species,cluster
2016-04-04_141257,I.oxyrinchus,1
2016-04-05_141257,I.oxyrinchus,5
2016-04-08_141257,I.oxyrinchus,5
2016-04-10_141257,I.oxyrinchus,5
2016-04-01_141259,P.glauca,4
2016-04-04_141259,P.glauca,2
2016-04-07_141259,P.glauca,2
2016-09-22_133016,P.glauca,2
2016-09-26_133016,P.glauca,2
2016-09-27_133016,P.glauca,2
2016-09-29_133016,P.glauca,3
2016-09-14_133021,P.glauca,2
2016-09-15_133021,P.glauca,2
2016-09-16_133021,P.glauca,4
2016-09-17_133021,P.glauca,4
2016-09-18_133021,P.glauca,1
2016-09-19_133021,P.glauca,1
2016-09-20_133021,P.glauca,1
2016-09-22_133021,P.glauca,2
2016-09-23_133021,P.glauca,2
2016-09-25_133021,P.glauca,3
2016-09-28_133021,P.glauca,2
2016-09-30_133021,P.glauca,2
2016-09-11_141247,P.glauca,5
2016-09-12_141247,P.glauca,2
2016-09-13_141247,P.glauca,2
2016-09-14_141247,P.glauca,2
2016-09-15_141247,P.glauca,2
2016-09-16_141247,P.glauca,2
2016-09-17_141247,P.glauca,2
2016-09-18_141247,P.glauca,2
2016-09-19_141247,P.glauca,2
2016-09-20_141247,P.glauca,2
2016-09-21_141247,P.glauca,2
2016-09-22_141247,P.glauca,2
2016-09-23_141247,P.glauca,2
2016-09-24_141247,P.glauca,2
2016-09-25_141247,P.glauca,4
2016-09-26_141247,P.glauca,2
2016-09-27_141247,P.glauca,2
2016-09-28_141247,P.glauca,2
2016-09-29_141247,P.glauca,2
2016-09-30_141247,P.glauca,2
2016-09-18_141255,P.glauca,1
2016-09-20_141255,P.glauca,1
2016-09-23_141255,P.glauca,2
2016-09-08_154096,P.glauca,2
2016-09-09_154096,P.glauca,2
2016-09-10_154096,P.glauca,2
2016-09-11_154096,P.glauca,2
2016-10-30_133016,P.glauca,5
2016-10-31_133016,P.glauca,5
2016-10-17_133017,P.glauca,2
2016-10-21_133017,P.glauca,2
2016-10-25_133017,P.glauca,2
2016-10-30_133017,P.glauca,2
2016-10-31_133017,P.glauca,2
2016-10-03_133018,P.glauca,2
2016-10-05_133018,P.glauca,2
2016-10-07_133018,P.glauca,1
