ptt,Date,d.b1,d.b2,d.b3,d.b4,d.b5,d.b6,d.b7,d.b8,d.sd,dn.x,n.b1,n.b2,n.b3,n.b4,n.b5,n.b6,n.b7,n.b8,n.sd,dn.y,species,kode,bathy
163096,2017-12-01,91.30434782608695,1.3043478260869565,1.3043478260869565,6.086956521739131,0,0,0,0,34.61261547182813,d,3.691275167785235,46.644295302013425,27.181208053691275,21.476510067114095,1.006711409395973,0,0,0,45.33682514182367,n,I.oxyrinchus,2017-12-01_163096,-4422.1199951171875
163096,2017-12-02,95.54140127388536,0.6369426751592357,0.6369426751592357,1.910828025477707,1.2738853503184715,0,0,0,33.02068672941739,d,0.36363636363636365,67.27272727272727,28.363636363636363,0.36363636363636365,2.909090909090909,0.7272727272727273,0,0,45.0593108361914,n,I.oxyrinchus,2017-12-02_163096,-4871.41259765625
163096,2017-12-03,100,0,0,0,0,0,0,0,0.18224820182272874,d,3.272727272727273,45.81818181818182,49.81818181818182,1.090909090909091,0,0,0,0,17.712276286636556,n,I.oxyrinchus,2017-12-03_163096,-4355.91552734375
163096,2017-12-04,78.8546255506608,3.9647577092511015,2.2026431718061676,3.0837004405286343,11.894273127753303,0,0,0,88.55903121459856,d,0,47.82608695652174,43.873517786561266,6.719367588932807,1.5810276679841897,0,0,0,35.58641878875164,n,I.oxyrinchus,2017-12-04_163096,-4267.955078125
163096,2017-12-05,86.34361233480176,1.762114537444934,11.45374449339207,0.4405286343612335,0,0,0,0,20.927885576007647,d,0,50.498338870431894,45.84717607973422,3.6544850498338874,0,0,0,0,21.329861073666816,n,I.oxyrinchus,2017-12-05_163096,-3562.1199951171875
163096,2017-12-06,20.903954802259886,1.694915254237288,33.89830508474576,11.299435028248588,32.20338983050847,0,0,0,100.83459252058812,d,0,21.782178217821784,68.31683168316832,9.900990099009901,0,0,0,0,28.25403781890174,n,I.oxyrinchus,2017-12-06_163096,-3728.60888671875
163096,2017-12-07,54.90196078431373,2.450980392156863,2.450980392156863,7.352941176470589,20.098039215686274,12.745098039215685,0,0,132.8369634588135,d,0,19.298245614035086,71.05263157894737,9.649122807017543,0,0,0,0,26.07316865024168,n,I.oxyrinchus,2017-12-07_163096,-3770.4921875
163096,2017-12-08,0,0.9803921568627451,14.705882352941178,38.72549019607843,18.137254901960784,27.450980392156865,0,0,100.40340571809952,d,0,5.263157894736842,62.71929824561403,31.140350877192986,0.8771929824561403,0,0,0,31.394392050646466,n,I.oxyrinchus,2017-12-08_163096,-3959.6341349283853
163096,2017-12-10,0,0,14.096916299559473,58.590308370044056,12.77533039647577,14.537444933920703,0,0,85.83181436222368,d,0,9.742120343839542,32.95128939828081,55.873925501432666,1.4326647564469914,0,0,0,41.67833861483347,n,I.oxyrinchus,2017-12-10_163096,-4571.654267533837
163096,2017-12-12,0,3.2679738562091507,2.6143790849673203,26.143790849673206,56.209150326797385,11.76470588235294,0,0,69.72725101338595,d,0,10.397553516819572,50.764525993883794,38.837920489296636,0,0,0,0,27.24368570029371,n,I.oxyrinchus,2017-12-12_163096,-4090.3900146484375
