ptt,Date,species,kode,bathy,latitude,longitude,distance,cluster
"141254",2015/11/29 00:00:00.000,P.glauca,2015/11/29 00:00:00.000,-4180.466609229726600,40.125000000000000,-65.375000000000000,125300.749379223561846,"2"
"141254",2015/11/30 00:00:00.000,P.glauca,2015/11/30 00:00:00.000,-3887.219687750400681,40.174999999999997,-65.599999999999994,107856.360515192936873,"2"
"141256",2015/11/03 00:00:00.000,P.glauca,2015/11/03 00:00:00.000,-1344.572252061631843,40.187977887278102,-67.876776244349600,8171.352599720437865,"2"
"141256",2015/11/04 00:00:00.000,P.glauca,2015/11/04 00:00:00.000,-3163.478312174479015,39.695157776586200,-67.416021157222104,68761.688311740304925,"2"
"141256",2015/11/05 00:00:00.000,P.glauca,2015/11/05 00:00:00.000,-3568.570068359375000,39.248259323151601,-67.547329045994402,112843.804315678848070,"2"
"141256",2015/11/06 00:00:00.000,P.glauca,2015/11/06 00:00:00.000,-3053.629882812500000,39.382615815834903,-68.349143607676396,77338.778429160069209,"2"
"141256",2015/11/09 00:00:00.000,P.glauca,2015/11/09 00:00:00.000,-2681.280029296875000,39.132808964355398,-69.931619980885600,79199.861817801371217,"2"
"141256",2015/11/10 00:00:00.000,P.glauca,2015/11/10 00:00:00.000,-2896.750000000000000,38.839423218649102,-70.310912624547598,112062.201853054182720,"2"
"141256",2015/11/11 00:00:00.000,P.glauca,2015/11/11 00:00:00.000,-2852.610107421875000,39.007842384413003,-70.742030470330505,92258.653200687651406,"2"
"141256",2015/11/14 00:00:00.000,P.glauca,2015/11/14 00:00:00.000,-2973.580078125000000,38.797039918807997,-70.627309531858899,115108.749629551079124,"3"
"141256",2015/11/17 00:00:00.000,P.glauca,2015/11/17 00:00:00.000,-3889.299926757812955,37.943456446027497,-69.988721338174500,211209.054960185341770,"2"
"141256",2015/11/18 00:00:00.000,P.glauca,2015/11/18 00:00:00.000,-4062.085083007812955,37.821812773585002,-69.337224777573894,226589.146798318659421,"2"
"141256",2015/11/21 00:00:00.000,P.glauca,2015/11/21 00:00:00.000,-4473.584960937500000,38.749389335351701,-66.901397843734202,181468.063385835819645,"2"
"141256",2015/11/23 00:00:00.000,P.glauca,2015/11/23 00:00:00.000,-4604.590087890625000,38.622905948552003,-66.179175391559596,218361.346223349566571,"4"
"141256",2015/11/25 00:00:00.000,P.glauca,2015/11/25 00:00:00.000,-5059.290039062500000,37.501239796830902,-63.020375158102603,476197.513464067247696,"4"
"141256",2015/11/28 00:00:00.000,P.glauca,2015/11/28 00:00:00.000,-5108.012573242187500,35.060904258207401,-63.286724731214797,307174.633875291270670,"5"
"141257",2015/11/04 00:00:00.000,I.oxyrinchus,2015/11/04 00:00:00.000,-4318.918375651041970,40.755986454099698,-63.792271010781498,191579.678233917627949,"1"
"141257",2015/11/06 00:00:00.000,I.oxyrinchus,2015/11/06 00:00:00.000,-4397.815063476562500,40.644818337637403,-63.663171551803998,207118.221929477353115,"1"
"141257",2015/11/08 00:00:00.000,I.oxyrinchus,2015/11/08 00:00:00.000,-4432.856689453125000,40.617665644289701,-63.652557246487298,209283.390265055146301,"1"
"141257",2015/11/09 00:00:00.000,I.oxyrinchus,2015/11/09 00:00:00.000,-4467.780029296875000,40.611727636778298,-63.669400770569297,208321.065372395096347,"1"
"141257",2015/11/10 00:00:00.000,I.oxyrinchus,2015/11/10 00:00:00.000,-4736.030029296874091,40.150789491988903,-63.610209812368403,238758.683270202425774,"1"
"141257",2015/11/11 00:00:00.000,I.oxyrinchus,2015/11/11 00:00:00.000,-4726.224392361111313,40.245808781210897,-63.951310894136199,208991.072369322762825,"2"
