ptt,Date,species,kode,bathy,latitude,longitude,distance,cluster
141257,2015/11/13 00:00:00,I.oxyrinchus,2015/11/13 00:00:00,-4789.34747314453,40.0114412586395,-63.9192320740254,227495.70562139,1
141257,2015/11/14 00:00:00,I.oxyrinchus,2015/11/14 00:00:00,-4882.85009765625,39.6589377765773,-64.1149084446895,241542.818287698,1
141257,2015/11/15 00:00:00,I.oxyrinchus,2015/11/15 00:00:00,-4795.05933159722,39.9530308173198,-64.0925596901292,221149.917955476,1
141257,2015/11/17 00:00:00,I.oxyrinchus,2015/11/17 00:00:00,-4826.74255371094,39.785136619375,-64.3112699580148,219660.544505837,1
141257,2015/11/19 00:00:00,I.oxyrinchus,2015/11/19 00:00:00,-4375.044921875,40.14613710682,-65.1285467370909,139905.479953475,2
141257,2015/11/20 00:00:00,I.oxyrinchus,2015/11/20 00:00:00,-4433.02258300781,40.4124385895862,-64.744837887283,145823.29371065,1
141257,2015/11/21 00:00:00,I.oxyrinchus,2015/11/21 00:00:00,-4564,40.2778747052324,-64.6795256502193,160541.19770753,1
141257,2015/11/22 00:00:00,I.oxyrinchus,2015/11/22 00:00:00,-4525.2998046875,39.9129717956407,-65.1409551004706,156025.875850061,1
141257,2015/11/25 00:00:00,I.oxyrinchus,2015/11/25 00:00:00,-4370.89245605469,40.3938405246515,-64.8489466350653,141359.669896556,1
141259,2015/11/02 00:00:00,P.glauca,2015/11/02 00:00:00,-4831.97021484375,41.2281061108253,-60.1830015120508,218181.582629308,2
141259,2015/11/03 00:00:00,P.glauca,2015/11/03 00:00:00,-4569.60009765625,42.0693931574132,-59.6484126520492,147689.789716491,2
141259,2015/11/04 00:00:00,P.glauca,2015/11/04 00:00:00,-4911.509765625,41.6484520800828,-58.5386134664882,224304.622463802,2
141259,2015/11/05 00:00:00,P.glauca,2015/11/05 00:00:00,-5086.509765625,40.765947929085,-57.6781559421885,339848.49605047,2
141259,2015/11/06 00:00:00,P.glauca,2015/11/06 00:00:00,-5172.97021484375,40.3743696182367,-57.3005124505566,392025.493231356,2
141259,2015/11/08 00:00:00,P.glauca,2015/11/08 00:00:00,-5096.64322916667,40.7585772640705,-55.2714714805699,395111.22467192,2
141259,2015/11/10 00:00:00,P.glauca,2015/11/10 00:00:00,-5236.87670898438,39.7512962239535,-53.6257531423588,403552.629684866,1
141259,2015/11/11 00:00:00,P.glauca,2015/11/11 00:00:00,-5318.21500651042,39.6200756994888,-52.405588015548,381411.147291233,2
141259,2015/11/13 00:00:00,P.glauca,2015/11/13 00:00:00,-5167.25,40.6598718457445,-51.7173749124773,253302.266990464,2
141259,2015/11/20 00:00:00,P.glauca,2015/11/20 00:00:00,-3855.90991210938,40.5833742611243,-50.7879684867763,241789.562069584,2
141259,2015/11/25 00:00:00,P.glauca,2015/11/25 00:00:00,-5077.81005859375,40.930507694905,-53.7093972074725,296028.59692087,2
141254,2015/12/02 00:00:00,P.glauca,2015/12/02 00:00:00,-3883.37892368862,40.425,-65.425,101065.943883159,1
141254,2015/12/03 00:00:00,P.glauca,2015/12/03 00:00:00,-4146.13036431207,40.3,-65.25,121284.585272036,2
141254,2015/12/04 00:00:00,P.glauca,2015/12/04 00:00:00,-4033.47131958008,39.775,-65.9,121710.181375332,2
141254,2015/12/05 00:00:00,P.glauca,2015/12/05 00:00:00,-4076.31704711914,39.45,-66.675,117016.537674033,1
141254,2015/12/06 00:00:00,P.glauca,2015/12/06 00:00:00,-4019.78223595252,39.075,-67.3,136787.727821322,1
141254,2015/12/07 00:00:00,P.glauca,2015/12/07 00:00:00,-4377.52616003788,38.375,-67.625,202239.155244789,2
141254,2015/12/08 00:00:00,P.glauca,2015/12/08 00:00:00,-4786.37613932292,37.625,-67.475,285722.93458323,2
141254,2015/12/09 00:00:00,P.glauca,2015/12/09 00:00:00,-4887.43917064824,37.65,-66.875,299044.317270669,2
141254,2015/12/11 00:00:00,P.glauca,2015/12/11 00:00:00,-4633.71721679687,38.625,-66.075,222125.837394403,2
141254,2015/12/12 00:00:00,P.glauca,2015/12/12 00:00:00,-4824.31521883878,38.85,-65.2,239982.252268711,2
141254,2015/12/13 00:00:00,P.glauca,2015/12/13 00:00:00,-4728.6156435366,38.625,-64.425,301302.368564415,2
141254,2015/12/14 00:00:00,P.glauca,2015/12/14 00:00:00,-4684.4425116645,38.4,-63.575,370087.45194955,2
141254,2015/12/15 00:00:00,P.glauca,2015/12/15 00:00:00,-4519.34742126465,38.425,-62.6,429699.335054199,2
141254,2015/12/16 00:00:00,P.glauca,2015/12/16 00:00:00,-5051.40105731671,38.9,-61.725,433954.778046826,2
141254,2015/12/17 00:00:00,P.glauca,2015/12/17 00:00:00,-4873.10831366645,39.35,-60.875,395462.351664349,2
141254,2015/12/18 00:00:00,P.glauca,2015/12/18 00:00:00,-5128.33249733665,39.325,-59.875,421267.197075549,2
141254,2015/12/23 00:00:00,P.glauca,2015/12/23 00:00:00,-5136.47509765625,40.325,-58.45,363794.930827134,2
141254,2015/12/27 00:00:00,P.glauca,2015/12/27 00:00:00,-4921.55209960937,41.65,-58.2,232507.861538466,2
141254,2015/12/28 00:00:00,P.glauca,2015/12/28 00:00:00,-5055.67733001709,41.175,-57.6,300319.185683789,2
141254,2015/12/29 00:00:00,P.glauca,2015/12/29 00:00:00,-5173.14665965545,40.35,-57.4,391430.639675203,2
141254,2015/12/31 00:00:00,P.glauca,2015/12/31 00:00:00,-5225.08826293945,39.6,-57.4,469758.144732014,2
141256,2015/12/03 00:00:00,P.glauca,2015/12/03 00:00:00,-4539.81005859375,32.7093433659734,-63.3458930365828,922446.397557919,5
141256,2015/12/04 00:00:00,P.glauca,2015/12/04 00:00:00,-4572.7998046875,32.2217852553521,-63.6835690992099,961533.847916666,4
141256,2015/12/05 00:00:00,P.glauca,2015/12/05 00:00:00,-4623.14013671875,31.5647889607047,-63.8595361980532,1025058.65599694,5
141256,2015/12/08 00:00:00,P.glauca,2015/12/08 00:00:00,-4975.8798828125,30.4220727519316,-63.5987420300479,1153401.9331191,5
141256,2015/12/09 00:00:00,P.glauca,2015/12/09 00:00:00,-4837.3701171875,30.1322310389813,-63.6497266424132,1182780.33817891,5
141256,2015/12/10 00:00:00,P.glauca,2015/12/10 00:00:00,-4995.98494466146,29.6329074845552,-63.9029854976054,1138533.32422522,5
141256,2015/12/12 00:00:00,P.glauca,2015/12/12 00:00:00,-5004.27978515625,28.8694438163507,-64.3363331087048,1044697.19709061,5
141256,2015/12/13 00:00:00,P.glauca,2015/12/13 00:00:00,-5102.43994140625,28.5619624191222,-64.5960295870275,1002276.79511133,5
141256,2015/12/15 00:00:00,P.glauca,2015/12/15 00:00:00,-5322.259765625,28.2030993650328,-65.1650179305297,938791.188658191,1
141256,2015/12/17 00:00:00,P.glauca,2015/12/17 00:00:00,-5039.5498046875,27.9197809481323,-65.3252399375034,903796.332450895,5
141256,2015/12/21 00:00:00,P.glauca,2015/12/21 00:00:00,-5501.6298828125,26.6554914168766,-65.5940267711678,772192.335631691,4
141256,2015/12/22 00:00:00,P.glauca,2015/12/22 00:00:00,-5100.16015625,26.290208421034,-65.9560034968649,718341.213074806,4
141256,2015/12/24 00:00:00,P.glauca,2015/12/24 00:00:00,-5583.7900390625,25.5079341944427,-66.7427549115297,602486.830432827,4
141256,2015/12/27 00:00:00,P.glauca,2015/12/27 00:00:00,-5462.39333767361,25.2081819283712,-67.9365075613516,513211.70917924,4
141256,2015/12/31 00:00:00,P.glauca,2015/12/31 00:00:00,-5206.7099609375,27.5828972154693,-68.0175670848055,729865.79969855,4
141257,2015/12/04 00:00:00,I.oxyrinchus,2015/12/04 00:00:00,-4371.57883029514,39.8883336981006,-65.3613567385853,144724.825882114,1
141257,2015/12/08 00:00:00,I.oxyrinchus,2015/12/08 00:00:00,-5036.07996961806,38.2036996147664,-63.6342617146552,382071.68197527,5
141257,2015/12/09 00:00:00,I.oxyrinchus,2015/12/09 00:00:00,-5004.52802734375,38.046759480796,-62.8891311652128,440573.448879694,5
141257,2015/12/12 00:00:00,I.oxyrinchus,2015/12/12 00:00:00,-4901.05696278234,37.555332455663,-61.6554694078936,555980.371481036,5
141257,2015/12/13 00:00:00,I.oxyrinchus,2015/12/13 00:00:00,-5046.4081995347,37.259257840133,-61.2191889482068,606627.959186711,5
141257,2015/12/14 00:00:00,I.oxyrinchus,2015/12/14 00:00:00,-5066.54728660899,36.9556912713628,-60.7963436058876,657085.019124648,5
